league,location_id,stadium,stadium_capacity,city,state,latitude,longitude
CFB,94,Aggie Memorial Stadium,,Las Cruces,NM,32.279626300000004,-106.74112037210871
CFB,95,Arizona Stadium,,Tucson,AZ,32.2288359,-110.94877964287623
CFB,96,Mountain America Stadium,,Tempe,AZ,33.42630945,-111.9326590178045
CFB,97,Husky Stadium,,Seattle,WA,47.650373599999995,-122.30197598251354
CFB,98,Allegiant Stadium,,Las Vegas,NV,36.09073585,-115.18333029577104
CFB,99,Doak Campbell Stadium,,Tallahassee,FL,30.438151,-84.3043923955984
CFB,100,Beaver Stadium,,University Park,PA,40.812074249999995,-77.85494312546311
CFB,101,Los Angeles Memorial Coliseum,,Los Angeles,CA,34.0139923,-118.28802864848308
CFB,102,Notre Dame Stadium,,Notre Dame,IN,41.69842305,-86.2339582320651
CFB,103,Pratt & Whitney Stadium,,East Hartford,CT,37.6280602,-98.7485305
CFB,104,Canvas Stadium,,Fort Collins,CO,40.5698591,-105.08934422364189
CFB,105,Valley Children's Stadium,,Fresno,CA,36.81439585,-119.75803831036679
CFB,106,Jonah Field at War Memorial Stadium,,Laramie,WY,41.31173415,-105.5681860863372
CFB,107,FAU Stadium,,Boca Raton,FL,26.376294950000002,-80.10171771394931
CFB,108,Sanford Stadium,,Athens,GA,33.94977095,-83.37226687142837
CFB,109,Scheumann Stadium,,Muncie,IN,40.216007149999996,-85.41682543092398
CFB,110,Dix Stadium,,Kent,OH,41.13902745,-81.31367539200747
CFB,111,"Alumni Stadium (Chestnut Hill, MA)",,Chestnut Hill,MA,,
CFB,112,Kenan Stadium,,Chapel Hill,NC,35.906943150000004,-79.04781990822377
CFB,113,Lane Stadium,,Blacksburg,VA,37.21989015,-80.41800385907507
CFB,114,Hard Rock Stadium,,Miami Gardens,FL,25.95790315,-80.24001919530573
CFB,115,Riccardo Silva Stadium,,Miami,FL,25.7524884,-80.37789033384085
CFB,116,Bridgeforth Stadium/Zane Showker Field,,Harrisonburg,VA,,
CFB,117,S.B. Ballard Stadium,,Norfolk,VA,,
CFB,118,Peden Stadium,,Athens,OH,39.3211131,-82.1030250723974
CFB,119,Brooks Stadium (SC),,Conway,SC,33.7929764,-79.01748200485565
CFB,120,Houchens Industries-L.T. Smith Stadium,,Bowling Green,KY,,
CFB,121,Center Parc Stadium,,Atlanta,GA,33.735526699999994,-84.3886513344851
CFB,122,Fifth Third Stadium,,Kennesaw,GA,34.02878715,-84.56779814513445
CFB,123,M. M. Roberts Stadium,,Hattiesburg,MS,30.5319402,-89.68519390196923
CFB,124,Tiger Stadium (LA),,Baton Rouge,LA,30.41197725,-91.18383029663619
CFB,125,Bank of America Stadium,,Charlotte,NC,35.225737,-80.8527666409835
CFB,126,DATCU Stadium,,Denton,TX,33.2039363,-97.1600466338925
CFB,127,"Memorial Stadium (Clemson, SC)",,Clemson,SC,,
CFB,128,Amon G. Carter Stadium,,Fort Worth,TX,32.70978705,-97.36818000852281
CFB,129,Sun Bowl,,El Paso,TX,47.616614049999995,-122.31905890780811
CFB,130,Rose Bowl,,Pasadena,CA,38.129546,-86.90472
CFB,131,Lumen Field,,Seattle,WA,47.5953459,-122.33164431196111
CFB,132,Yager Stadium,,Oxford,OH,39.519414749999996,-84.7330855440365
CFB,133,Lincoln Financial Field,,Philadelphia,PA,39.9009099,-75.16748915605905
CFB,134,Razorback Stadium,,Fayetteville,AR,33.4386991,-94.0232081
CFB,135,InfoCision Stadium,,Akron,OH,41.07251,-81.50848073481782
CFB,136,Waldo Stadium,,Kalamazoo,MI,42.28576205,-85.60111972018308
CFB,137,Rynearson Stadium,,Ypsilanti,MI,42.2558724,-83.64737474598931
CFB,138,Elliott T. Bowers Stadium,,Huntsville,TX,,
CFB,139,Albertsons Stadium,,Boise,ID,43.60355615,-116.1957917192275
CFB,140,AT&T Stadium,,Arlington,TX,47.59397,14.12456
CFB,141,GEHA Field at Arrowhead Stadium,,Kansas City,MO,,
CFB,142,NRG Stadium,,Houston,TX,29.6848581,-95.41080145326987
CFB,143,Cotton Bowl,,Dallas,TX,32.77961185,-96.7596025290281
CFB,144,MetLife Stadium,,East Rutherford,NJ,40.81352375,-74.07340074891175
CFB,145,EverBank Stadium,,Jacksonville,FL,,
CFB,146,Yankee Stadium,,Bronx,NY,40.82958275,-73.92652118491901
CFB,147,,,,,,
CFB,148,Lucas Oil Stadium,,Indianapolis,IN,39.7590621,-86.16383761053042
CFB,149,Ford Field,,Detroit,MI,42.33995675,-83.04561657403696
